domain_name,otx_count,vt_count,
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
23050.servece.repl.co,0,7,7
2f0bf269-475f-409a-885d-1e413618d9b6.id.repl.co,0,7,7
7895bcde-fd6b-44e7-9e5c-5417a0ed038b.id.repl.co,0,7,7
9d431dea-f450-4deb-a2ed-2632bb24b414.id.repl.co,0,7,7
a1d53eb7-6d2e-47c4-9c34-935ea89a3b45.id.repl.co,0,7,7
a3h-mkd3d.firebaseapp.com,0,7,7
aabbccee-86c0a.web.app,0,7,7
accepupdeting.start.page,2,5,7
account-restriction-1008652953.web.app,0,7,7
account-update.info.szbvcd.top,2,5,7
broadband-sne-ina-7k3-shop.fourthwall.com,0,7,7
bt-v-ina-u28-shop.fourthwall.com,0,7,7
mailupgrade8765ghju.weebly.com,0,7,7
office365mccdeduverified.weebly.com,0,7,7
pdpumailpdpuacowa.weebly.com,0,7,7
site-0kivauil3.godaddysites.com,0,7,7
xbimbra.weebly.com,0,7,7
xuzim040.weebly.com,0,7,7
56756453454546--3458767564.repl.co,0,6,6
885fcf9e-2c67-4161-8f18-8cc962871902.id.repl.co,0,6,6
aave.im,0,6,6
venetocgil.weebly.com,0,6,6
z-mail-auth.weebly.com,0,6,6
zimbra-web-mail-login.weebly.com,0,6,6
a.eddyx.workers.dev,0,5,5
ab-tdod5.ml,0,5,5
accessobperbanca.zapatradex.com,2,3,5
bncitasdigital-com5.webnode.cr,0,5,5
netflix-nuevo.com,0,5,5
018894.664165.repl.co,0,4,4
65695fac.wmctc.uk,2,2,4
9f5973c5-deb7-42ec-9162-78b23167d8e5.usrfiles.com,0,4,4
access-info-app.firebaseapp.com,0,4,4
account-restriction-1008652953.firebaseapp.com,0,4,4
accedi-sistema-sicuro-bnl-servizio.cfolks.pl,1,2,3
0379a7b5--0f5d--4fd7--8737--68bf7068c0a4-id-repl-co.translate.goog,0,1,1
139-144-35-136.ip.linodeusercontent.com,0,1,1
18jk1.trk.elasticemail.com,0,1,1
244.33.109.208.host.secureserver.net,0,1,1
28-12-gertgb-0e-jt5g9wrkfg-ewgjtr-g9jng-th-hj.obs.ap-southeast-1.myhuaweicloud.com,0,1,1
546782d6.sibforms.com,0,1,1
66d8d1b8-7b00-47e9-8658-62b81702a024.usrfiles.com,0,1,1
79sb.short.gy,0,1,1
9caef1c3.sibforms.com,0,1,1
09-02-46u5-0fw084gf-qhe9jf-w8grf-jw9d-wgf.obs.ap-southeast-1.myhuaweicloud.com,0,0,0
30-02-5g90-4395gh3vnb-0w8rgbf0-wbei-0ebf-0h.obs.ap-southeast-3.myhuaweicloud.com,0,0,0
64.47.167.72.host.secureserver.net,0,0,0
80-39ghv-w8rgf-whec-w8g34-fqd8w-0rgf-g8ffd.obs.ap-southeast-3.myhuaweicloud.com,0,0,0
8v0ehr08-hv0w-rbvc0wefc-we-40fh0-edgf0-gf.obs.ap-southeast-3.myhuaweicloud.com,0,0,0
playstation-store-free-50.weebly.com,1,-1,0
plusfree1.weebly.com,1,-1,0
plusfree1month.weebly.com,1,-1,0
qrf56.weebly.com,1,-1,0
re-benefits.click,1,-1,0
re-subsidy.click,1,-1,0
re-welfare.click,1,-1,0
recespostme.cfd,1,-1,0
rediedf.com,1,-1,0
register1212112.xyz,1,-1,0
renovacion-information.com,1,-1,0
rpcreset.net,1,-1,0
s4vy3hshw5h47vw53n8wn63h8wt2ht5efg.weebly.com,1,-1,0
sensible-plans-553176.framer.app,1,-1,0
playstation4freegame.weebly.com,0,-1,-1
portplus-trezor-logon.webflow.io,0,-1,-1
procesos-tramite-sicopcr.webnode.cr,0,-1,-1
programmation-dujour.com,0,-1,-1
qrimbra.weebly.com,0,-1,-1
queuedappsyc.netlify.app,0,-1,-1
rejuvenated-hexagon-383356.framer.app,0,-1,-1
roundcubdes.weebly.com,0,-1,-1
sec-visionsfcu.weebly.com,0,-1,-1
secure-blockfi--cdn-so.webflow.io,0,-1,-1
seed-trezor.io,0,-1,-1
segurotalfa.vercel.app,0,-1,-1
domain,-1,-1,-2
